source_id,candidate_id,source_url,observed_date,authority,what_it_can_support,what_it_cannot_support,status
SRC-P-001-01,P-001,https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-002-01,P-002,https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/traktor-xingtai-sintay-240,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-003-01,P-003,https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/minitraktor-xingtai-sintay-xt-244-luxe-lite,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-004-01,P-004,https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/minitraktor-xingtai-sintay-xt-244-kpp-4h1-generation-3-luxe-s-psm,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-005-01,P-005,https://kupit-minitraktor.ru/index.php?route=product/product&path=122_137&product_id=9571,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-006-01,P-006,https://kupit-minitraktor.ru/minitraktori/traktor-xingtai-sintay/minitraktor-xingtai-sintay-rd-254,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-007-01,P-007,https://kupit-minitraktor.ru/index.php?route=product/product&path=122_137&product_id=9570,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-008-01,P-008,https://market-tractor.ru/product/traktor-xingtai-sintay-xt-504c-s-kabinoy,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-009-01,P-009,https://market-tractor.ru/product/traktor-minitraktor-xingtai-sintay-xt-304,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
SRC-P-010-01,P-010,https://market-tractor.ru/product/traktor-minitraktor-xingtai-sintay-xt-244-44-revers,2026-09-21,CATALOG_SPECIFICATION,"наличие и содержание публично заявленных характеристик","независимое подтверждение результата без первичных данных",DISCOVERED
